Anio,Nomestado,Nomddr,Nomcader,Nommunicipio,Nomcicloproductivo,Nommodalidad,Nomunidad,Nomcultivo Sin Um,Sembrada,Cosechada,Siniestrada,Rendimiento,Precio,Valorproduccion
2020,Aguascalientes,Aguascalientes,Aguascalientes,Jesús María,Primavera-Verano,Riego,Tonelada,Lechuga,4.0,4.0,0.0,36.75,3406.31,500727.57
2020,Aguascalientes,Aguascalientes,Aguascalientes,Jesús María,Primavera-Verano,Riego,Tonelada,Maíz forrajero en verde,802.0,802.0,0.0,54.1,751.33,32598856.31
2020,Aguascalientes,Aguascalientes,Aguascalientes,Jesús María,Primavera-Verano,Riego,Tonelada,Maíz grano,190.0,190.0,0.0,6.6,3319.97,4160918.4
2020,Aguascalientes,Aguascalientes,Aguascalientes,Jesús María,Primavera-Verano,Riego,Tonelada,Sorgo forrajero en verde,7.0,7.0,0.0,53.43,578.25,216265.5
2020,Aguascalientes,Aguascalientes,Aguascalientes,Jesús María,Primavera-Verano,Riego,Tonelada,Tomate rojo (jitomate),75.45,75.45,0.0,39.9,6083.36,18315781.22
2020,Aguascalientes,Aguascalientes,Aguascalientes,Jesús María,Primavera-Verano,Riego,Tonelada,Tomate verde,71.5,71.5,0.0,18.72,3063.73,4100804.07
2020,Aguascalientes,Aguascalientes,Aguascalientes,Jesús María,Primavera-Verano,Riego,Tonelada,Zanahoria,10.0,10.0,0.0,36.3,3172.37,1151570.31
2020,Aguascalientes,Aguascalientes,Aguascalientes,Jesús María,Primavera-Verano,Temporal,Tonelada,Avena forrajera en verde,110.0,110.0,0.0,8.71,515.0,493370.0
2020,Aguascalientes,Aguascalientes,Aguascalientes,Jesús María,Primavera-Verano,Temporal,Tonelada,Frijol,40.0,40.0,0.0,0.55,8330.0,183260.0
2020,Aguascalientes,Aguascalientes,Aguascalientes,Jesús María,Primavera-Verano,Temporal,Tonelada,Maíz forrajero en verde,7090.0,7090.0,0.0,10.35,609.22,44705477.43
2020,Aguascalientes,Aguascalientes,Aguascalientes,Jesús María,Primavera-Verano,Temporal,Tonelada,Maíz grano,963.0,963.0,0.0,0.45,4045.0,1752900.75
2020,Aguascalientes,Aguascalientes,Aguascalientes,Jesús María,Primavera-Verano,Temporal,Tonelada,Sorgo forrajero en verde,7.0,7.0,0.0,8.8,585.0,36036.0
2020,Aguascalientes,Aguascalientes,Aguascalientes,Jesús María,Perennes,Riego,Tonelada,Alfalfa verde,386.0,386.0,0.0,92.23,658.62,23447201.31
2020,Aguascalientes,Aguascalientes,Aguascalientes,Jesús María,Perennes,Riego,Tonelada,Durazno,1.0,1.0,0.0,15.31,14730.71,225527.17
2020,Aguascalientes,Aguascalientes,Aguascalientes,Jesús María,Perennes,Riego,Tonelada,Nuez,13.5,13.5,0.0,1.6,35014.07,756303.91
2020,Aguascalientes,Aguascalientes,Aguascalientes,Jesús María,Perennes,Riego,Tonelada,Uva,19.0,19.0,0.0,9.8,5972.42,1112064.6
2020,Aguascalientes,Aguascalientes,Aguascalientes,Jesús María,Perennes,Temporal,Tonelada,Tuna,35.0,35.0,0.0,3.79,3356.0,445173.4
2020,Aguascalientes,Aguascalientes,Aguascalientes,El Llano,Otoño-Invierno,Riego,Tonelada,Avena forrajera en verde,300.0,300.0,0.0,27.1,549.91,4470768.3
2020,Aguascalientes,Aguascalientes,Aguascalientes,El Llano,Primavera-Verano,Riego,Tonelada,Calabacita,1.0,1.0,0.0,18.25,3385.0,61776.25
2020,Aguascalientes,Aguascalientes,Aguascalientes,El Llano,Primavera-Verano,Riego,Tonelada,Cebolla,1.5,1.5,0.0,26.13,2100.0,82299.0
2020,Aguascalientes,Aguascalientes,Aguascalientes,El Llano,Primavera-Verano,Riego,Tonelada,Chile verde,2.0,2.0,0.0,15.4,7851.33,241820.96
2020,Aguascalientes,Aguascalientes,Aguascalientes,El Llano,Primavera-Verano,Riego,Tonelada,Maíz forrajero en verde,365.0,365.0,0.0,62.95,746.54,17153062.95
2020,Aguascalientes,Aguascalientes,Aguascalientes,El Llano,Primavera-Verano,Riego,Tonelada,Maíz grano,210.0,210.0,0.0,7.0,3190.0,4689300.0
2020,Aguascalientes,Aguascalientes,Aguascalientes,El Llano,Primavera-Verano,Riego,Tonelada,Tomate rojo (jitomate),1.0,1.0,0.0,20.85,4190.0,87361.5
2020,Aguascalientes,Aguascalientes,Aguascalientes,El Llano,Primavera-Verano,Riego,Tonelada,Tomate verde,1.0,1.0,0.0,19.33,4560.0,88144.8
2020,Aguascalientes,Aguascalientes,Aguascalientes,El Llano,Primavera-Verano,Temporal,Tonelada,Avena forrajera en verde,60.0,60.0,0.0,8.63,509.0,263560.2
2020,Aguascalientes,Aguascalientes,Aguascalientes,El Llano,Primavera-Verano,Temporal,Tonelada,Frijol,2380.0,2380.0,0.0,0.4,8790.07,8368146.64
2020,Aguascalientes,Aguascalientes,Aguascalientes,El Llano,Primavera-Verano,Temporal,Tonelada,Maíz forrajero en verde,10300.0,10300.0,0.0,10.7,605.74,66758605.4
2020,Aguascalientes,Aguascalientes,Aguascalientes,El Llano,Primavera-Verano,Temporal,Tonelada,Maíz grano,8580.0,8580.0,0.0,0.4,4025.54,13815653.28
2020,Aguascalientes,Aguascalientes,Aguascalientes,El Llano,Perennes,Riego,Tonelada,Alfalfa verde,243.0,243.0,0.0,94.2,647.01,14810447.11
2020,Aguascalientes,Aguascalientes,Aguascalientes,El Llano,Perennes,Riego,Tonelada,Nuez,1.5,1.5,0.0,1.84,35005.0,96613.8
2020,Aguascalientes,Aguascalientes,Aguascalientes,El Llano,Perennes,Riego,Tonelada,Uva,3.0,1.0,0.0,15.44,15000.41,231606.33
2020,Aguascalientes,Aguascalientes,Aguascalientes,El Llano,Perennes,Temporal,Tonelada,Tuna,20.0,20.0,0.0,3.28,3390.0,222384.0
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Otoño-Invierno,Riego,Tonelada,Avena forrajera en verde,460.0,460.0,0.0,28.88,610.0,8103532.8
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Otoño-Invierno,Riego,Tonelada,Brócoli,97.0,97.0,0.0,18.73,3980.0,7230903.8
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Otoño-Invierno,Riego,Tonelada,Coliflor,55.0,55.0,0.0,22.4,3950.5,4867016.0
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Otoño-Invierno,Riego,Tonelada,Zanahoria,38.0,38.0,0.0,21.9,2487.89,2070422.06
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Primavera-Verano,Riego,Tonelada,Brócoli,193.0,193.0,0.0,18.25,4223.23,14874216.06
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Primavera-Verano,Riego,Tonelada,Cebolla,17.0,17.0,0.0,19.0,2410.58,778617.34
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Primavera-Verano,Riego,Tonelada,Chile verde,83.0,83.0,0.0,26.99,7724.58,17306919.18
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Primavera-Verano,Riego,Tonelada,Coliflor,40.0,40.0,0.0,19.2,3835.18,2945418.24
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Primavera-Verano,Riego,Tonelada,Elote,10.0,10.0,0.0,22.5,3333.93,750134.25
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Primavera-Verano,Riego,Tonelada,Frijol,20.0,20.0,0.0,2.8,10339.42,579007.52
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Primavera-Verano,Riego,Tonelada,Maíz forrajero en verde,1100.0,1100.0,0.0,64.75,768.19,54714332.75
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Primavera-Verano,Riego,Tonelada,Maíz grano,260.0,260.0,0.0,8.15,3270.38,6929935.22
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Primavera-Verano,Riego,Tonelada,Tomate rojo (jitomate),27.8,27.8,0.0,148.41,15440.3,63703580.22
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Primavera-Verano,Riego,Tonelada,Tomate verde,40.0,40.0,0.0,18.5,3032.16,2243798.4
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Primavera-Verano,Riego,Tonelada,Zanahoria,35.0,35.0,0.0,20.5,3110.0,2231425.0
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Primavera-Verano,Temporal,Tonelada,Avena forrajera en verde,30.0,30.0,0.0,7.45,518.0,115773.0
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Primavera-Verano,Temporal,Tonelada,Frijol,38.0,38.0,0.0,0.39,8295.0,122931.9
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Primavera-Verano,Temporal,Tonelada,Maíz forrajero en verde,1999.0,1999.0,0.0,10.5,607.67,12754689.47
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Primavera-Verano,Temporal,Tonelada,Maíz grano,960.0,960.0,0.0,0.49,4108.23,1932511.39
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Perennes,Riego,Tonelada,Alfalfa verde,59.0,59.0,0.0,95.4,669.65,3769191.99
